rank,competitor_name,stage,our_score_normalized,our_score,official_mean,official_rank,future_advancements,comment_count,comment_count_inc_likes,advanced,pred_advance
1,"Khrikuli, David",stage2,0.7286656236348251,0.7410666095523667,21.35,5,2,251,4659.0,True,True
2,"Yang, William",stage2,0.6614834961142385,0.7346074327886136,22.38,3,2,118,1891.0,True,True
3,"Strata, Gabriele",stage2,0.6614628905352815,0.6971950115562403,20.63,16,0,171,2585.0,False,True
4,"Lu, Eric",stage2,0.6507525710493768,0.6719940170132325,23.03,1,2,245,5281.0,True,True
5,"Ong, Vincent",stage2,0.6420934447158934,0.6994031249999999,21.23,7,2,227,7535.0,True,True
6,"Wang, Zitong",stage2,0.6196653710186518,0.6827441309823677,20.69,15,2,155,1973.0,True,True
7,"Micieli, Ruben",stage2,0.5922166173051492,0.684042930262316,19.12,33,0,110,1561.0,False,True
8,"Lee, Hyo",stage2,0.5746872744209128,0.5862431529656608,20.79,12,1,227,4782.0,True,True
9,"Bao, Yanyan",stage2,0.5703415201247453,0.7237582564575645,18.82,36,0,107,1079.0,False,True
10,"Kałduński, Adam",stage2,0.5700104163658017,0.606712748091603,19.72,28,0,268,6545.0,False,True
11,"Gao, Yang (Jack)",stage2,0.5684232212809537,0.6890810989867499,21.18,8,1,89,1275.0,True,True
12,"Zhang, Jacky",stage2,0.5583995392574738,0.7296504052684902,18.8,38,0,72,979.0,False,True
13,"Lyu, Tianyao",stage2,0.5486503931662254,0.622286593547013,20.78,14,2,536,9325.0,True,True
14,"Shindo, Miyu",stage2,0.5472777368277133,0.5767430936073059,20.82,11,2,214,6125.0,True,True
15,"Prokopowicz, Yehuda",stage2,0.5350883769018865,0.5737252043010753,20.36,19,1,144,2312.0,True,True
16,"Jin, Zihan",stage2,0.5293664669363833,0.7085472737186478,19.14,32,0,75,908.0,False,True
17,"Yamagata, Miki",stage2,0.5237096535047717,0.6614120126926564,20.35,20,0,67,1097.0,False,True
18,"Chen, Kevin",stage2,0.5179379941805237,0.6181141565751321,22.41,2,2,575,11682.0,True,True
19,"Rao, Hao",stage2,0.5171535687230513,0.6960095317725752,19.15,31,0,67,893.0,False,True
20,"Li, Tianyou",stage2,0.5161641313390386,0.6660244368266405,21.86,4,2,70,1020.0,True,True
21,"Alexewicz, Piotr",stage2,0.5025399394032415,0.6302947530864197,21.08,10,2,96,1124.0,True,False
22,"Nakagawa, Yumeka",stage2,0.4872699018335615,0.5787607544211167,19.98,25,0,428,11457.0,False,False
23,"Chang, Kai-Min",stage2,0.48155283660354775,0.5973818855541626,20.52,18,0,373,13558.0,False,False
24,"Lee, Kwanwook",stage2,0.47485543831022614,0.5671282209897611,18.72,39,0,278,11718.0,False,False
25,"Lee, Hyuk",stage2,0.47162732005750213,0.5552414192614047,20.79,13,1,352,11040.0,True,False
26,"Pawlak, Piotr",stage2,0.46303755409836445,0.5663883914021882,20.59,17,1,463,12868.0,True,False
27,"Lynov, Philipp",stage2,0.4558721861502841,0.6886615620214396,18.71,40,0,60,652.0,False,False
28,"Li, Zhexiang",stage2,0.44692010152182,0.7133073656845753,19.08,35,0,63,572.0,False,False
29,"Aumiller, Jonas",stage2,0.44297656486752823,0.6965965776293822,19.81,27,0,72,592.0,False,False
30,"Kuwahara, Shiori",stage2,0.384824968170199,0.5868500482121334,21.28,6,2,539,24883.0,True,False
31,"Chen, Xuehong",stage2,0.3738724468113526,0.6465978215767635,19.9,26,0,39,480.0,False,False
32,"Wu, Yifan",stage2,0.3479360741553733,0.6594617574257424,20.32,21,1,56,400.0,True,False
33,"Ushida, Tomoharu",stage2,0.3338600255198401,0.5416567965383011,21.08,9,1,482,28762.0,True,False
34,"Li, Xiaoxuan",stage2,0.2666571365575356,0.6086275862068966,20.3,23,1,46,288.0,True,False
35,"Milstein, Nathalia",stage2,0.2633021411893236,0.6295990909090908,19.26,30,0,40,267.0,False,False
36,"Deng, Yubo",stage2,0.23914122655684025,0.7189942708333333,19.09,34,0,33,189.0,False,False
37,"Ratinov, Anthony",stage2,0.2159348385389932,0.685613202247191,20.13,24,0,35,175.0,False,False
38,"Guo, Eric",stage2,0.19851282943382284,0.6576685294117647,20.32,22,1,33,165.0,True,False
39,"Hu, Xiaoyu",stage2,0.1217161016825244,0.5990414999999999,18.81,37,0,17,99.0,False,False
40,"Chen, Zixi",stage2,0.1164277816732248,0.6141773684210526,19.29,29,0,26,91.0,False,False
